"company_name","summary","author_title","author_location","recommends_flag","outlook_flag","ceo_opinion_flag","main_text_description","pros_description","cons_description","advice_to_management_description","star_rating_overall","star_rating_work_life_balance","star_rating_culture_and_values","star_rating_career_opportunities","star_rating_comp_and_benefits","star_rating_senior_management","star_rating_review_date"
"gsk","Great place to work","Former Employee - Brand Manager","Brentford, England","Recommends","None","Approves of CEO","I worked at GlaxoSmithKline full-time for more than 3 years","Great culture. Very team oriented and gender balanced. Great offices and facilities.","Sometimes not quick enough off the pace versus similar sized competitors.","None",5.0,4.0,5.0,4.0,4.0,4.0,"None"
"gsk","good","Current Employee - Associate Scientist","Stevenage, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for less than a year","Excellent companywith a good team work","Progression and location are the only things think to face.","None",5.0,4.0,3.0,5.0,4.0,3.0,"Mon Mar 30 2020 03:40:43 GMT-0700 (Pacific Daylight Time)"
"gsk","Good place to work","Current Employee - Clinical Study Manager","London, England","Recommends","Neutral Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","Good work life balance, colleagues and environment.","Hierarchical and constant change.","None",4.0,5.0,5.0,3.0,5.0,3.0,"Tue Mar 31 2020 12:34:29 GMT-0700 (Pacific Daylight Time)"
"gsk","Good salary, good management","Former Employee - Anonymous Employee","London, England","None","Positive Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than 3 years","Great place to grow your career","I didn't expirience anything negative","None",4.0,5.0,5.0,4.0,5.0,4.0,"Wed Apr 01 2020 08:13:28 GMT-0700 (Pacific Daylight Time)"
"gsk","GSK","Current Employee - Service Specialist","Brentford, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 5 years","Good work life balance
Friendly environment 
Helpful people
Good benefits","Salary less than competitors
Parking an issue at Brentford","None",4.0,5.0,5.0,2.0,3.0,2.0,"Tue Mar 31 2020 01:23:16 GMT-0700 (Pacific Daylight Time)"
"gsk","Golden handcuffs","Current Employee - Financial Analyst","None","None","None","None","I have been working at GlaxoSmithKline full-time","Working hours
Decent pay 
Amazing people 
Many opportunities to grow","Too much politics. Can’t get anything done in time","None",4.0,5.0,5.0,3.0,4.0,3.0,"Mon Mar 30 2020 05:47:26 GMT-0700 (Pacific Daylight Time)"
"gsk","Ethical","Current Employee - Production Supervisor","London, England","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 5 years","Safe and high quality with good career growth","Red tape and highly regulated","None",5.0,4.0,5.0,5.0,5.0,4.0,"Wed Mar 25 2020 14:30:13 GMT-0700 (Pacific Daylight Time)"
"gsk","Great","Current Employee - Marketing Executive","None","Recommends","None","Approves of CEO","I have been working at GlaxoSmithKline full-time","Amazing ethics, great pray, good culture","To many restrictions , limited parking","None",5.0,5.0,5.0,4.0,5.0,3.0,"Tue Mar 24 2020 09:26:30 GMT-0700 (Pacific Daylight Time)"
"gsk","Great place to work","Current Employee - Scientist","Stevenage, England","None","None","None","I have been working at GlaxoSmithKline full-time","Friendly colleagues and flexible working policy","Lots of administrative processes","None",5.0,None,None,None,None,None,"Sun Mar 15 2020 23:19:07 GMT-0700 (Pacific Daylight Time)"
"gsk","Good","Former Employee - Anonymous Employee","Brentford, England","None","None","None","I worked at GlaxoSmithKline full-time","great ability to tackle new problems","nothing it was great tbh","None",5.0,None,None,None,None,None,"Mon Mar 09 2020 18:48:07 GMT-0700 (Pacific Daylight Time)"
"gsk","Very good company","Former Employee - Regulatory Affairs Specialist","Stevenage, England","Recommends","Positive Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than a year","Good career prospectus, learning, flexible hours, work life balance, support","Distance from home, travelling time, salary review more,  to market ,","None",4.0,4.0,5.0,4.0,4.0,5.0,"Tue Mar 03 2020 14:33:13 GMT-0800 (Pacific Standard Time)"
"gsk","Feedback","Current Employee - Sales Representative","None","Doesn't Recommend","Negative Outlook","No Opinion of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","Good Training and Development ,share scheme","Salaries and KPI s are poor","None",2.0,1.0,1.0,1.0,2.0,2.0,"Wed Mar 18 2020 11:57:44 GMT-0700 (Pacific Daylight Time)"
